VSSL_INNB,CLSGN,VSSL_NO,IMO_NO,MMSI_NO,BEF_VSSL_NO,BEF_CLSGN,PRT_AG_CD,SATMNT_ENTRPS_CD,SAVE_TP,VSSL_KND_CD,VSSL_KOR_NM,VSSL_ENG_NM,VSSL_NLTY_CD,SHIPNG_NAT_CD,SHIPNG_PRT_CD,OPRTR_NLTY_CD,OPRTR_ENTRPS_CD,SHPWNR_NLTY_CD,SHPWNR_ENTRPS_CD,TON_EDYC_SE,INTRL_GRTG,GRTG,NTNG,CMDTY_WT_TON,VSSL_TOT_LT,SHDTH,VSSL_DRFT,VSSL_LT,VSSL_DP,BRBT_SE,IBOBPRT_SE,NVG_SHAP_CD,ERSR_RESN_CD,VSSL_CNSTR_DT,ORGINL_CMPRSN_DT,ISSC_DSPTH_DTLS,ISSC_APRTF_CECK_DTLS,ISSC_CNFIRM_DT,ISSC_PRT_CD,VSSL_TELNO_1,VSSL_TELNO_2,VSSL_TELNO_3,XCSSHP_AT,OKR_DPLC_HULL_AT,SBT_YN,REMARK,SATMNT_DT,USE_YN,RDCSHP_RESN,RDCSHP_DE,HARBOR_TNSPOT_SE,STDR_INSTT_HRSPW,USER_INSRNC_EXPRTN_DE,VSSL_INSRNC_EXPRTN_DE,CREW_INSRNC_EXPRTN_DE,POSESN_SE,HOLD_SE,CHARTSP_BEGIN_DE,CHARTSP_END_DE,LDADNG_CPCTY,ACQS_DE,RGSTR_ID,REGIST_DT,UPDUSR_ID,UPDT_DT,ROW_STTUS_CD,TELNO_RM,REQST_NO,NWSHIP_TKOFF_AT,OIL_INSRNC_BEGIN_DE,OIL_INSRNC_END_DE,RGSTR_SE,SATMNT_ENTRPS_U_CD,SUB_INST_YN,LDADNG_TEU,RE_SATMNT_REQST_YN,RE_SATMNT_REQST_RESN
9780471,OWNQ2,,9780471,219039000,,,20,KMC0155,3,41,MUMBAI MAERSK,MUMBAI MAERSK,DK,DK,CPH,DK,,,,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,12/2/2015 0:00,,,,,,1098165350,556816181,,,N,N,180509 대리점변경,10/8/2019 14:01,Y,,,,,,,,,,,,,,ok3950,4/24/2018 13:16,vtms,3/15/2021 13:21,,대리점 코리아마린서비스 010-2681-0598,55684,,,,,,,"20,568",,
9780483,OWSE2,,9780483,219045000,,,20,KMC0155,3,41,MAASTRICHT MAERSK,MAASTRICHT MAERSK,DK,DK,CPH,DK,,,KMC0155,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,12/3/2015 0:00,,,,,,1098165350,,,,N,N,190118 총길이/선주/운항형태 변경,9/19/2019 9:00,Y,,,,,,,,,,,,,,ok3950,12/28/2018 9:37,vtms,4/6/2021 21:46,,,55332,,,,,,,"20,568",,
9444730,OXRX2,,9444730,219072000,,A8YJ9,20,KMC0155,3,41,SANTA CATARINA,SANTA CATARINA,DK,DK,CPH,DK,,,,1,"85,676","85,676","42,501","93,591",289,43,13,289,19,,1,1,,10/19/2010 0:00,,,,,,1098165350,1042796350,,,N,N,"180423 호출부호,선박국적,선적항,만재흘수",5/26/2020 15:26,Y,,,,,,,,,,,,,,bpa020,12/28/2015 16:22,vtms,12/20/2020 7:42,A,,60414,,,,,,,"7,154",,
9430375,OXAW2,,9430375,219088000,,D5AH6,20,KMC0155,3,41,SANTA TERESA,SANTA TERESA,DK,DK,CPH,DK,,,,1,"85,676","85,676","42,501","93,590",289,43,14,289,19,,1,1,,5/24/2011 0:00,,,,,,1098165350,1042796350,,,N,N,"180416호출부호,선박국적,선적항 변경",7/14/2020 15:45,Y,,,,,,,,,,,,,,bpa020,1/20/2016 16:42,vtms,10/30/2020 6:35,A,,61383,,,,,,,"7,114",,
9456991,OXPH2,,9456991,219126000,,D5BF8,20,KMC0155,3,41,RHINE MAERSK,RHINE MAERSK,DK,DK,CPH,DK,,DK,,1,"50,885","50,885","26,659","61,983",235,37,14,235,18,,1,1,,11/25/2011 0:00,4/30/2012 0:00,,,,,1098165350,1090199039,,,N,N,"170828 운영자국적,선적항 변경",11/12/2019 10:22,Y,,,,,,,,,,,,,,bpa020,8/28/2017 11:29,bpa161006-IHS,10/27/2020 15:32,A,,56377,,,,,,,"4,622",,
OYIK2,OYIK2,,9120853,219134000,,,20,KMC0155,3,41,SUSAN MAERSK,SUSAN MAERSK,DK,DK,ZZZ,DK,,,,1,"92,198","92,198","53,625","110,381",332,43,15,332,21,,1,1,,6/1/1997 0:00,,,,,,1098165350,,,,N,,,10/8/2019 15:42,Y,,,,,,,,,,,,,,SIMA3116,2/9/2009 16:07,vtms,4/14/2021 0:03,A,,55690,,,,,,,"9,578",,
OZSK2,OZSK2,,9146467,219145000,,,20,KMC0155,3,41,SVENDBORG MAERSK,SVENDBORG MAERSK,DK,DK,SVE,DK,,DK,,1,"92,198","92,198","53,625","110,387",332,43,15,332,21,,1,1,,9/12/1998 0:00,,,,,,1098165350,514692281,,,N,,,5/27/2019 10:10,Y,,,,,,,,,,,,,,bpa020,3/10/2016 16:30,vtms,3/23/2021 8:12,A,,52684,,,,,,,"9,578",,
PHNH,OZDL2,,9352004,219228000,,PHNH,20,KMC0155,3,41,MAERSK STEPNICA,MAERSK STEPNICA,DK,DK,CPH,DK,,,,1,"92,293","92,293","58,211","107,978",321,43,15,321,20,,1,1,,10/1/2007 0:00,2/7/2011 0:00,,,,,1098165350,,,3,N,N,110126 선박국적변경,9/9/2019 11:06,Y,,,,,,,,,,,,,,hmyang,10/24/2014 11:30,vtms,4/1/2021 13:39,A,,55144,,,,,,,"9,662",,
PHPG,OZDM2,,9352016,219229000,,PHPG,622,KMC0155,3,41,MAERSK SALALAH,MAERSK SALALAH,DK,DK,CPH,DK,,DK,,1,"92,293","92,293","58,211","107,978",321,43,15,321,20,,1,1,,2/1/2008 0:00,,,,,,,617971357,,3,,N,대리점6.9,6/9/2008 0:00,Y,,,,,,,,,,,,,,hmyang,11/26/2014 13:55,vtms,5/6/2021 8:27,A,,,,,,,,,"9,662",,
PHPS,OZDQ2,,9352028,219231000,,PHPS,20,KMC0155,3,41,MAERSK SAVANNAH,MAERSK SAVANNAH,DK,DK,CPH,DK,,,,1,"92,293","92,293","58,211","107,978",321,43,15,321,20,,1,1,,5/27/2008 0:00,1/10/2011 0:00,,,,,1098165350,617976932,,,N,N,"110104 국적/운항형태, 150416 총톤수 변경",5/7/2020 16:45,Y,,,,,,,,,,,,,,yolee03090,4/16/2015 14:45,vtms,2/24/2021 19:05,A,,60054,,,,,,,"9,662",,
9447885,OYWG2,,9447885,219259000,,CQAR,20,KMC0360,3,41,SOUTHAMPTON EXPRESS,SOUTHAMPTON EXPRESS,DK,DK,ZZZ,DE,,DE,,1,"141,328","141,328","80,630","153,514",351,48,12,351,23,,1,1,,3/7/2011 0:00,,,,,,1040938060,1045657192,,N,N,N,160125 가등록(풀텀ITC 받을것) 160412 정규등록,1/6/2020 10:57,Y,,,,,,,,,,,,,,bpa020,4/12/2016 15:03,bpa161006-IHS,10/27/2020 15:32,A,,57594,,,,,,,"12,562",,
OZHS2,OZHS2,,9120865,219324000,,,20,KMC0155,3,41,SALLY MAERSK,SALLY MAERSK,DK,DK,GLE,DK,,,,1,"92,198","92,198","53,625","110,387",332,43,15,332,21,,1,1,,10/1/1997 0:00,,,,,,1098165350,0,,,N,N,,4/11/2019 14:27,Y,,,,,,,,,,,,,,skryoo,2/16/2014 23:29,vtms,4/23/2021 17:44,A,,51834,,,,,,,"9,578",,
OYGA2,OYGA2,,9120841,219476000,,,20,KMC0155,3,41,SOVEREIGN MAERSK,SOVEREIGN MAERSK,DK,DK,AAR,DK,,,,1,"92,198","92,198","53,625","110,381",332,43,15,332,21,,1,1,,3/13/1997 0:00,5/8/2014 0:00,,,9/20/2006 0:00,20,1098165350,519503802,,,N,N,"140429총톤수,대리점변경",5/14/2019 14:03,Y,,,,,,,,,,,,,,sima3116,5/8/2014 13:47,vtms,4/21/2021 13:03,A,,52464,,,,,,,"9,578",,
9146455,OZOK2,,9146455,219537000,,,20,KMC0155,3,41,SINE MAERSK,SINE MAERSK,DK,DK,KTD,DK,,,,1,"92,198","92,198","53,625","110,381",332,43,15,332,21,,1,1,,6/1/1998 0:00,5/26/2014 0:00,,,,,1098165350,41005657,,,N,N,140521톤수변경110906 신규,5/20/2019 15:22,Y,,,,,,,,,,,,,,sima3116,5/26/2014 15:50,bpa161006-IHS,10/27/2020 15:32,A,,52555,,,,,,,"9,578",,
9619995,OWJN2,,9619995,219578000,,,20,KMC0155,3,41,MAYVIEW MAERSK,MAYVIEW MAERSK,DK,DK,CPH,DK,,,,1,"194,849","194,849","79,120","213,971",399,59,16,380,27,,1,1,,12/9/2013 0:00,,,,,,,556816181,,,N,N,150903 운항형태 변경,5/30/2014 0:00,Y,,,,,,,,,,,,,,bpa020,9/3/2015 11:12,ywhyun,3/15/2021 14:20,A,,,,,,,,,"18,340",,
9632064,OWQZ2,,9632064,219581000,,,20,KMC0155,3,41,MERETE MAERSK,MERETE MAERSK,DK,DK,SNY,DK,,,,1,"194,849","194,849","89,317","194,916",380,59,16,380,27,,1,1,,2/11/2014 0:00,,,,,,1098165350,556816181,,,N,N,151001 운항형태 변경,10/29/2019 11:18,Y,,,,,,,,,,,,,,bpa020,10/1/2015 14:25,vtms,5/6/2021 8:26,A,,56120,,,,,,,"18,340",,
9632105,OWLW2,,9632105,219609000,,,20,KMC0155,3,41,MORTEN MAERSK,MORTEN MAERSK,DK,DK,DRA,DK,,,,1,"194,849","194,849","89,317","194,916",380,59,16,380,27,,1,1,,4/22/2014 0:00,,,,,,1098165350,556816181,,,N,N,"151001 운항형태,길이 변경",6/16/2020 14:16,Y,,,,,,,,,,,,,,bpa020,10/1/2015 14:23,vtms,3/22/2021 9:01,A,,60830,,,,,,,"18,340",,
9632129,OWTG2,,9632129,219620000,,,20,KMC0155,3,41,MAREN MAERSK,MAREN MAERSK,DK,DK,RKG,DK,,,KMC0155,1,"194,849","194,849","89,317","194,916",380,59,12,380,27,,1,1,,6/30/2014 0:00,,,,,,1098165350,514692281,,,N,N,"150904 운항형태 변경
190903 순톤수 변경(임시ITC증서)",3/4/2020 13:22,Y,,,,,,,,,,,,,,bpa020,9/4/2015 10:12,vtms,3/10/2021 0:20,A,,58821,,,,,,,"18,340",,
9632131,OWYZ2,,9632131,219629000,,,20,KMC0155,3,41,MARGRETHE MAERSK,MARGRETHE MAERSK,DK,DK,SGD,DK,,,KMC0155,1,"194,849","194,849","89,317","194,916",380,59,16,380,27,,1,1,,1/20/2014 0:00,,,,,,1098165350,514692281,,,N,N,"190124 총길이 변경
151008 만재흘수,운항형태 변경",5/14/2020 13:44,Y,,,,,,,,,,,,,,bpa020,10/8/2015 11:15,vtms,2/18/2021 21:33,A,,60204,,,,,,,"18,340",,
9632143,OWUJ2,,9632143,219630000,,,20,KMC0155,3,41,MARCHEN MAERSK,MARCHEN MAERSK,DK,DK,DRA,DK,,,,1,"194,849","194,849","79,120","194,916",380,59,16,380,27,,1,1,,6/30/2014 0:00,,,,,,1098165350,514692281,,,N,N,150811 운항형태 변경,7/2/2019 10:01,Y,,,,,,,,,,,,,,bpa020,8/11/2015 16:25,bpa161006-IHS,10/27/2020 15:33,A,,53770,,,,,,,"18,340",,
9632155,OWRS2,,9632155,219631000,,,20,KMC0155,3,41,METTE MAERSK,METTE MAERSK,DK,DK,ORO,DK,,,,1,"194,849","194,849","89,317","194,916",380,59,16,380,27,,1,1,,6/27/2014 0:00,,,,,,1098165350,1085094165,,,N,N,151013 운항형태 변경,7/15/2020 10:23,Y,,,,,,,,,,,,,,bpa020,10/13/2015 16:51,vtms,4/25/2021 9:59,A,,61399,,,,,,,"18,340",,
OZUN2,OZUN2,,9146479,219776000,,,20,KMC0155,3,41,SOFIE MAERSK,SOFIE MAERSK,DK,DK,CPH,DK,,DK,KMC0155,1,"92,198","92,198","53,625","110,387",332,43,15,332,21,,1,1,,11/30/1998 0:00,,,,,,1098165350,1071698767,,,N,N,20160324 총톤수 변경,8/7/2019 10:44,Y,,,,,,,,,,,,,,hmyang,3/24/2016 9:17,vtms,1/13/2021 8:28,A,,54552,,,,,,,"9,578",,
OYJS2,OYJS2,,9166778,219791000,,,20,KMC0155,3,41,AOTEA MAERSK,AOTEA MAERSK,DK,DK,ZZZ,DK,KMC0155,DK,,1,"92,198","92,198","53,625","110,387",332,43,11,332,21,,1,1,,3/1/1999 0:00,,,,,,,1094502281,,3,,N,,7/30/2016 0:00,Y,,,,,,,,,,,,,,bpa020,8/1/2016 9:27,vtms,1/21/2021 13:53,A,,,,,,,,,"9,578",,
9166780,OYKJ2,,9166780,219802000,,,621,KMC0155,3,41,SOROE MAERSK,SOROE MAERSK,DK,DK,ZZZ,KR,,,,1,"92,198","92,198","53,625","110,387",332,43,16,332,21,,1,1,,6/2/1999 0:00,10/11/2011 0:00,,,,,,,,,,N,111004 신규 121122 톤수,10/4/2011 0:00,Y,,,,,,,,,,,,,,ranboss9,2/10/2014 0:13,ranboss9-IHS,10/27/2020 15:32,A,,,,,,,,,"9,578",,
OYOS2,OYOS2,,9166792,219821000,,,20,KMC0155,3,41,SKAGEN MAERSK,SKAGEN MAERSK,DK,DK,SKA,DK,,DK,,1,"92,198","92,198","53,625","110,387",332,43,15,332,21,,1,1,,5/23/1999 0:00,,,,,,1098165350,514692281,,,N,N,160115 톤수변경,5/7/2019 17:21,Y,,,,,,,,,,,,,,bpa020,1/15/2016 11:20,vtms,4/29/2021 20:09,A,,52324,,,,,,,"9,578",,
9778806,OWCH2,977880,9778806,219835000,,,20,KMC0155,3,41,MUNICH MAERSK,MUNICH MAERSK,DK,DK,CPH,DK,,,,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,11/23/2015 0:00,,,,,,1098165350,1094502281,,,N,N,"170627 대리점,선적항 변경",1/27/2021 14:38,Y,,,,,,,,,,,,,,gotkdryxhd,6/29/2017 14:47,vtms,4/29/2021 6:07,A,,65122,,,,,,,"20,568",,
9778791,OWMD2,,9778791,219836000,,,20,KMC0155,3,41,MADRID MAERSK,MADRID MAERSK,DK,DK,CPH,DK,,,,1,"214,286","214,286","88,997","190,326",383,59,17,383,29,,1,1,,11/20/2015 0:00,,,,,,1098165350,516018322,,,N,N,20170502 대리점 변경함,2/5/2020 10:31,Y,,,,,,,,,,,,,,goomangun,5/2/2017 18:01,vtms,2/9/2021 23:45,A,,58225,,,,,,,"20,568",,
OYRO2,OYRO2,,9198575,219840000,,,622,KMC0155,3,41,CLIFFORD MAERSK,CLIFFORD MAERSK,DK,DK,HAD,DK,,DK,,1,"92,198","92,198","53,625","110,387",332,43,15,332,21,,1,1,,6/13/1999 0:00,,,,,,1071698767,514692281,,,N,N,,8/21/2018 15:55,Y,,,,,,,,,,,,,,bpa020,3/2/2016 15:14,vtms,3/7/2021 19:27,A,,47829,,,,,,,"9,578",,
9778844,OWPU2,,9778844,219854000,,,20,KMC0155,3,41,MARSEILLE MAERSK,MARSEILLE MAERSK,DK,DK,CPH,DK,,DK,,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,11/27/2015 0:00,,,,,,1098165350,556816181,,,N,N,,1/8/2020 9:03,Y,,,,,,,,,,,,,,ok3950,12/26/2017 11:00,ywhyun,4/14/2021 12:44,A,,57636,,,,,,,"20,568",,
9192454,VRTT8,,9192454,219857000,,OVZB2,20,KMC0155,3,41,NICOLAI MAERSK,NICOLAI MAERSK,HK,HK,HKG,DK,,,,1,"27,733","27,733","10,307","30,420",188,30,11,188,18,,1,1,,6/9/2000 0:00,2/5/2016 13:21,,,,,1098165350,514692281,,,N,,,3/26/2021 14:20,,,,,,,,,,,,,,,bpa020,2/5/2016 13:21,vtms,5/6/2021 6:59,A,,66204,,,,,,,"2,240",,
9778820,OWGK2,,9778820,219861000,,OWG2,20,KMC0155,3,41,MILAN MAERSK,MILAN MAERSK,DK,DK,CPH,DK,,,,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,11/25/2015 0:00,,,,,,1098165350,1098165350,,,N,N,180328 대리점변경,11/1/2019 10:46,Y,,,,,,,,,,,,,,ok3950,9/18/2017 8:58,vtms,2/27/2021 20:54,A,,56194,,,,,,,"20,568",,
9778832,OWNL2,,9778832,219863000,,,20,KMC0155,3,41,MONACO MAERSK,MONACO MAERSK,DK,DK,CPH,DK,,,,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,11/26/2015 0:00,,,,,,1098165350,1090199039,,,N,N,171218대리점변경,8/12/2019 15:51,Y,,,,,,,,,,,,,,soheejung,12/18/2017 14:02,bpa063004-IHS,10/27/2020 15:32,A,,54634,,,,,,,"20,568",,
9778818,OWCM2,,9778818,219864000,,,20,KMC0155,3,41,MOSCOW MAERSK,MOSCOW MAERSK,DK,DK,CPH,DK,,,,1,"214,286","214,286","88,997","190,326",383,59,16,383,29,,1,1,,11/23/2015 0:00,,,,,,1098165350,1094502281,,,N,N,170724 선박홀수 변경,10/14/2019 15:44,Y,,,,,,,,,,,,,,bpa020,7/24/2017 14:40,bpa063004-IHS,10/27/2020 15:32,A,,55802,,,,,,,"20,568",,
9190731,OWKI2,,9190731,219947000,,,20,KMC0155,1,41,LAURA MAERSK,LAURA MAERSK,DK,DK,HVA,DK,,DK,KMC0155,1,"50,688","50,688","28,350","63,200",254,37,8,254,19,,1,1,,6/26/2001 0:00,11/17/2016 0:00,,,,,1098165350,1046124402,,,N,N,"180703 선명변경,imo번호 등록/180703 총길이,길이 깊이 변경",7/3/2018 0:00,Y,,,,,,,,,,,,,,bjkim4478,11/24/2017 13:35,bpa163009-IHS,10/27/2020 15:32,A,,46952,,,,,,,"4,258",,
9215165,OWTW2,,9215165,219953000,,,20,KMC0155,1,41,JEPPESEN MAERSK,JEPPESEN MAERSK,DK,DK,KOL,DK,,,KMC0155,1,"30,166","30,166","13,284","35,097",205,32,12,205,18,,1,1,,9/1/2000 0:00,9/10/2018 0:00,,,,,1098165350,,,,N,N,180910 신규등록,9/10/2018 0:00,Y,,,,,,,,,,,,,,bpa163009,9/10/2018 16:19,bpa163009-IHS,10/27/2020 15:33,,,48174,,,,,,,"3,003",,
9190755,OYXZ2,,9190755,219973000,,,20,KMC0155,1,41,LEDA MAERSK,LEDA MAERSK,DK,DK,EBT,DK,,,,1,"50,688","50,688","28,350","63,200",254,37,15,254,19,,1,1,,10/23/2000 0:00,3/20/2019 11:29,,,,,1098165350,,,,N,,,3/20/2019 11:17,Y,,,,,,,,,,,,,,bpa181019,3/20/2019 11:29,bpa181019-IHS,10/27/2020 15:32,,,51399,,,,,,,"4,258",,
OYYK2,OYYK2,,9215177,219974000,,,20,KMC0155,3,41,JENS MAERSK,JENS MAERSK,DK,DK,FRC,KR,,DK,KMC0155,1,"30,166","30,166","13,284","35,097",205,32,12,205,18,,1,1,,12/1/2000 0:00,,,,,,1098165350,,,,N,N,"181113 대리점,나용구분,길이 변경",11/13/2018 0:00,Y,,,,,,,,,,,,,,KSH88,2/20/2003 10:04,vtms,4/24/2021 23:59,A,,49245,,,,,,,"3,003",,
9190779,OWAY2,,9190779,219981000,,,20,KMC0155,1,41,LICA MAERSK,LICA MAERSK,DK,DK,HAN,DK,,,KMC0155,1,"50,688","50,688","28,350","63,400",254,37,11,254,19,,1,1,,6/21/2001 0:00,2/13/2019 0:00,,,,,1098165350,,,,N,N,190213 신규등록,2/13/2019 0:00,Y,,,,,,,,,,,,,,bpa161006,2/13/2019 15:11,bpa161006-IHS,10/27/2020 15:32,,,50793,,,,,,,"4,258",,
9215189,OWFD2,,9215189,219982000,,,20,KMC0155,1,41,JOHANNES MAERSK,JOHANNES MAERSK,DK,DK,AAL,DK,,,,1,"30,166","30,166","13,284","35,097",205,32,12,205,18,,1,1,,3/1/2001 0:00,8/13/2019 17:58,,,,,1098165350,,,,N,,,8/13/2019 17:51,Y,,,,,,,,,,,,,,bpa063004,8/13/2019 17:58,bpa063004-IHS,10/27/2020 15:32,,,54671,,,,,,,"3,003",,
9190781,OWFT2,,9190781,220005000,,,20,KMC0155,1,41,LUNA MAERSK,LUNA MAERSK,DK,DK,HLS,DK,,DK,KMC0155,1,"50,688","50,688","28,350","63,395",254,37,14,254,19,,1,1,,8/22/2001 0:00,11/14/2016 0:00,,,,,1098165350,1094502281,,,N,N,"181120 총톤수,총길이,깊이,길이 변경/161114 신규등록",11/20/2018 0:00,Y,,,,,,,,,,,,,,bpa020,11/14/2016 16:13,bpa163009-IHS,10/27/2020 15:32,A,,49378,,,,,,,"4,258",,
OWKF2,OWKF2,,9215191,220008000,,,20,KMC0155,1,41,JOSEPHINE MAERSK,JOSEPHINE MAERSK,DK,DK,RAN,DK,,DK,KMC0155,1,"30,166","30,166","13,284","35,082",205,32,12,205,18,,1,1,,2/2/2001 0:00,,,,10/10/2006 0:00,20,1098165350,,,,N,N,"181102 imo,선적항,총길이,깊이 변경",11/2/2018 0:00,Y,,,,,,,,,,,,,,SIMA1205,10/10/2006 10:32,bpa163009-IHS,10/27/2020 15:32,A,,49046,,,,,,,"3,003",,
OWLD2,OWLD2,,9245744,220059000,,,20,KMC0155,3,41,CHARLOTTE MAERSK,CHARLOTTE MAERSK,DK,DK,FRC,DK,,DK,,1,"92,198","92,198","53,625","109,657",334,43,15,334,21,,1,1,,1/1/2002 0:00,,,,10/4/2006 0:00,20,1098165350,1094502281,,,N,,,9/2/2019 10:11,Y,,,,,,,,,,,,,,bpa020,12/20/2016 17:15,vtms,4/12/2021 14:57,A,,55002,,,,,,,"9,612",,
9245756,OWWS2,,9245756,220061000,,,20,KMC0155,3,41,CORNELIA MAERSK,CORNELIA MAERSK,DK,DK,KAL,DK,,,,1,"91,921","91,921","53,625","104,600",334,43,15,334,21,,1,1,,12/21/2001 0:00,1/15/2013 0:00,,,,,1098165350,514105657,,,N,N,130104 신규,5/28/2019 17:40,Y,,,,,,,,,,,,,,lmk0123,10/29/2013 17:36,vtms,2/28/2021 18:51,A,,52821,,,,,,,"8,648",,
9245765,OUHC2,,9245768,220129000,,,20,KMC0155,3,41,COLUMBINE MAERSK,COLUMBINE MAERSK,DK,DK,TYB,DK,,,,1,"91,921","91,921","53,625","110,000",334,43,15,334,21,,1,1,,3/10/2002 0:00,4/17/2013 0:00,,,,,1098165350,514105657,,,N,N,130412 신규,4/22/2019 13:44,Y,,,,,,,,,,,,,,bpa020,11/25/2015 18:00,vtms,3/24/2021 9:55,A,,52025,,,,,,,"8,648",,
OXBA2,OXBA2,,9260421,220199000,,,20,KMC0155,3,41,ANNA MAERSK,ANNA MAERSK,DK,DK,AAB,DK,,DK,,1,"93,496","93,496","49,741","109,000",337,43,15,337,21,,1,1,,6/15/2002 0:00,,,,,,,1094502281,,,,,신규0309,3/16/2009 14:39,Y,,,,,,,,,,,,,,lmk0123,4/3/2014 12:05,vtms,4/26/2021 6:53,A,대리점 한국머스크 010-9450-2281,,,,,,,,"8,272",,
OXJH2,OXJH2,,9260445,220221000,,,20,KMC0155,3,41,ARTHUR MAERSK,ARTHUR MAERSK,DK,DK,RNN,DK,,DK,,1,"93,496","93,496","49,741","109,000",337,43,12,337,21,,1,1,,6/25/2002 0:00,,,,,,1092320100,,,,,,,2/6/2007 12:46,Y,,,,,,,,,,,,,,lmk0123,2/9/2014 7:28,vtms,2/20/2021 16:18,A,,,,,,,,,"8,272",,
OUOW2,OUOW2,,9260469,220263000,,,20,KMC0155,3,41,ALBERT MAERSK,ALBERT MAERSK,DK,DK,CPH,DK,,DK,,1,"93,496","93,496","49,741","109,735",337,43,15,337,21,,1,1,,6/27/2002 0:00,,,,,,1098165350,,,,N,,선명변경,4/29/2019 14:32,Y,,,,,,,,,,,,,,lmk0123,3/18/2014 20:13,vtms,3/31/2021 6:07,A,,52164,,,,,,,"8,272",,
9294379,OVSB2,,9294379,220291000,,,20,KMC0155,N,41,LARS MAERSK,LARS MAERSK,DK,DK,SAX,DK,,DK,,1,"50,624","50,624","26,654","62,994",254,37,14,254,19,,1,1,,5/11/2004 0:00,,,,,,1098165350,617975041,,,N,N,,5/8/2019 17:47,Y,,,,,,,,,,,,,,lmk0123,3/29/2014 7:02,bpa161006-IHS,10/27/2020 15:32,A,,52357,,,,,,,"4,533",,
OYCY2,OYCY2,,9302889,220397000,,,20,KMC0155,3,41,GRETE MAERSK,GRETE MAERSK,DK,DK,CPH,DK,,DK,,1,"98,648","98,648","59,086","115,700",352,43,15,352,21,,1,1,,8/19/2005 0:00,,,,,,1098165350,,,,N,,,5/22/2019 17:51,Y,,,,,,,,,,,,,,SIMA1205,2/28/2007 13:11,vtms,3/17/2021 6:51,A,,52613,,,,,,,"11,078",,
9321548,OXOR2,,9321548,220501000,,,20,KMC0155,3,41,EDITH MAERSK,EDITH MAERSK,DK,DK,RKI,DK,,,,1,"171,542","171,542","62,537","174,239",383,56,16,383,30,,1,1,,5/13/2007 0:00,,,,,,1098165350,,,3,N,N,,2/19/2020 16:27,,,,,,,,,,,,,,,joon5617,3/20/2014 0:08,bpa191003-IHS,10/27/2020 15:32,A,,58541,,,,,,,"17,816",,
9525936,9HA2984,,9525936,229007000,,,20,KMC0360,3,41,JEBEL ALI,JEBEL ALI,MT,MT,MLA,MT,,,,1,"141,077","141,077","75,670","145,149",366,48,11,351,23,,1,1,,11/30/2011 0:00,,,,,,,1071740082,,,,N,170216대리점변경,2/15/2017 0:00,Y,,,,,,,,,,,,,,bpa020,2/16/2017 8:56,vtms,3/6/2021 7:11,A,,,,,,,,,"13,296",,
9477799,9HA3403,,9477799,229556000,,,20,KMC0155,1,41,MEGALOPOLIS,MEGALOPOLIS,MT,MT,MLA,DK,,,KMC0155,1,"48,338","48,338","21,585","62,172",245,37,11,245,20,,1,1,,12/27/2012 0:00,4/13/2018 0:00,,,,,1098165350,1098165350,,,N,N,"181214 순톤수/총길이/대리점 변경
180712 선명,운영자국적 변경/180413 신규등록",12/14/2018 0:00,Y,,,,,,,,,,,,,,bpa020,4/13/2018 17:56,bpa161006-IHS,10/27/2020 15:36,A,,49797,,,,,,,"4,957",,
9477804,9HA3404,,9477804,229557000,,,20,KMC0155,1,41,MARATHOPOLIS,MARATHOPOLIS,MT,MT,MLA,DK,,MT,KMC0155,1,"48,338","48,338","21,585","62,129",245,37,13,245,20,,1,1,,10/22/2013 0:00,12/28/2015 0:00,,,,,1098165350,522616691,,,N,N,"181005 총길이,길이,대리점 변경/180801,0731 선명,운영자국적,대리점변경/180625 대리점,나용구분 변경 /나용구분 변경(울)
180729 선박명, 선사/대리점 변경",10/5/2018 0:00,Y,,,,,,,,,,,,,,usptms6,3/16/2018 9:40,bpa163009-IHS,10/27/2020 15:36,A,,48567,,,,,,,"4,957",,
9605255,9HA3457,,9605255,229620000,,,20,KMC0326,3,41,MSC AZOV,MSC AZOV,MT,MT,MLA,CH,KMC0326,,,1,"95,166","95,166","52,968","112,434",300,48,15,285,20,,1,1,,12/17/2012 0:00,3/6/2020 7:53,,,,,1045657192,,,,N,,,11/23/2020 8:46,Y,,,,,,,,,,,,,,bpa161006,3/6/2020 7:53,ywhyun,2/11/2021 0:10,,,63882,,,,,,N,"9,403",,
9338084,9HA3768,,9338084,229979000,,,20,KMC0155,1,41,BOMAR BELLINI,BOMAR BELLINI,MT,MT,MLA,DK,,,,1,"28,616","28,616","14,769","39,276",212,30,12,212,17,,1,1,,10/2/2007 0:00,4/1/2020 13:52,,,,,1098165350,,,,N,,,5/11/2020 13:32,Y,,,,,,,,,,,,,,bpa161006,4/1/2020 13:52,bpa161006-IHS,10/27/2020 15:35,,대리점 코리아마린서비스 연락처 051-469-2281 20.05.14,60103,,,,,,N,"2,824",,
